DRAFT,,,,,,,,
CMS,,,,,,,,
NADAC Reference File as of 07/04/2013,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting"
AMLODIPINE-BENAZEPRIL 10-40 MG,00378690001,0.61464,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 10-40 MG,00781227901,0.61464,41445.0,EA,C/I,N,"1, 6",G
AMLODIPINE-BENAZEPRIL 10-40 MG,00591376201,0.61464,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 10-40 MG,49884095301,0.61464,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 10-40 MG,49884095305,0.61464,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 10-40 MG,55111058601,0.61464,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 10-40 MG,68180076001,0.61464,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 10-40 MG,65862058701,0.61464,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 2.5-10,00093737001,0.95469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 2.5-10,00378689501,0.95469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 2.5-10,00591375701,0.95469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 2.5-10,00781227101,0.95469,41445.0,EA,C/I,N,"1, 6",G
AMLODIPINE-BENAZEPRIL 2.5-10,00781227164,0.95469,41445.0,EA,C/I,N,"1, 6",G
AMLODIPINE-BENAZEPRIL 2.5-10,55111033801,0.95469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 2.5-10,49884092901,0.95469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 2.5-10,49884092905,0.95469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 2.5-10,65862058201,0.95469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 2.5-10,68180075501,0.95469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,00093737101,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,00093737110,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,00378689601,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,00378689605,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,00781227201,0.56014,41445.0,EA,C/I,N,"1, 6",G
AMLODIPINE-BENAZEPRIL 5-10 MG,00781227210,0.56014,41445.0,EA,C/I,N,"1, 6",G
AMLODIPINE-BENAZEPRIL 5-10 MG,00591375801,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,00591375805,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,49884093001,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,49884093005,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,55111033901,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,55111033905,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,68180075601,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,68180075602,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,65862058301,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-10 MG,68084034921,0.56014,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,00093737201,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,00093737210,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,00378689701,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,00378689705,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,00591375901,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,00591375905,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,00781227301,0.54058,41445.0,EA,C/I,N,"1, 6",G
AMLODIPINE-BENAZEPRIL 5-20 MG,00781227310,0.54058,41445.0,EA,C/I,N,"1, 6",G
AMLODIPINE-BENAZEPRIL 5-20 MG,55111034001,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,55111034005,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,49884093101,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,49884093105,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,68084035001,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,65862058401,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,68180075701,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-20 MG,68180075702,0.54058,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-40 MG,00093767001,0.61469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-40 MG,00378689901,0.61469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-40 MG,00781227701,0.61469,41445.0,EA,C/I,N,"1, 6",G
AMLODIPINE-BENAZEPRIL 5-40 MG,00591376101,0.61469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-40 MG,49884095201,0.61469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-40 MG,49884095205,0.61469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-40 MG,55111058701,0.61469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-40 MG,68180075901,0.61469,41445.0,EA,C/I,N,1,G
AMLODIPINE-BENAZEPRIL 5-40 MG,65862058501,0.61469,41445.0,EA,C/I,N,1,G
AMMONIA INHALANT AMPULE,39822990001,0.21014,41417.0,EA,C/I,Y,"4, 5",G
AMMONIA INHALANT AMPULE,39822990002,0.20428,41417.0,EA,C/I,Y,"4, 5",G
AMMONIUM LACTATE 12% CREAM,00591215738,0.03924,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% CREAM,00591215780,0.03815,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% CREAM,00904598348,0.03662,41445.0,GM,C/I,Y,"1, 5",G
AMMONIUM LACTATE 12% CREAM,45802049326,0.03924,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% CREAM,45802049383,0.03815,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% CREAM,45802051377,0.03662,41445.0,GM,C/I,Y,"1, 5",G
AMMONIUM LACTATE 12% CREAM,51672130100,0.03924,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% CREAM,51672130104,0.03815,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% CREAM,63044040420,0.03662,41445.0,GM,C/I,Y,"1, 5",G
AMMONIUM LACTATE 12% LOTION,00904598426,0.02761,41445.0,GM,C/I,Y,"1, 5",G
AMMONIUM LACTATE 12% LOTION,00904598463,0.02463,41445.0,GM,C/I,Y,"1, 5",G
AMMONIUM LACTATE 12% LOTION,00591215822,0.02761,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% LOTION,00591215846,0.02463,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% LOTION,45802052526,0.02463,41445.0,GM,C/I,Y,"1, 5",G
AMMONIUM LACTATE 12% LOTION,45802052555,0.02062,41445.0,GM,C/I,Y,"1, 5",G
AMMONIUM LACTATE 12% LOTION,45802041926,0.02463,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% LOTION,45802041954,0.02761,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% LOTION,51672130005,0.02761,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% LOTION,51672130009,0.02463,41445.0,GM,C/I,N,"1, 5",G
AMMONIUM LACTATE 12% LOTION,63044048409,0.02761,41445.0,GM,C/I,Y,"1, 5",G
AMNESTEEM 10 MG CAPSULE,00378661193,6.88977,41445.0,EA,C/I,N,1,G
AMNESTEEM 20 MG CAPSULE,00378661293,7.1836,41445.0,EA,C/I,N,1,G
AMNESTEEM 40 MG CAPSULE,00378661493,7.82937,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 200-28.5/5 SUSP,00143998101,0.10043,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,00143998150,0.12916,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,00143998175,0.10253,41417.0,ML,C/I,N,"4, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,00093227773,0.10043,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,43598021350,0.12916,41445.0,ML,C/I,N,"1, 5, 6",G
AMOX TR-K CLV 200-28.5/5 SUSP,43598021351,0.10253,41417.0,ML,C/I,N,"4, 5, 6",G
AMOX TR-K CLV 200-28.5/5 SUSP,43598021352,0.10043,41445.0,ML,C/I,N,"1, 5, 6",G
AMOX TR-K CLV 200-28.5/5 SUSP,16714029201,0.12916,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,16714029202,0.10253,41417.0,ML,C/I,N,"4, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,16714029203,0.10043,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,65862053301,0.10043,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,65862053350,0.12916,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,65862053375,0.10253,41417.0,ML,C/I,N,"4, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,66685101100,0.12916,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,66685101101,0.10253,41417.0,ML,C/I,N,"4, 5",G
AMOX TR-K CLV 200-28.5/5 SUSP,66685101102,0.10043,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 250-125 MG TAB,00781187431,4.56147,41417.0,EA,C/I,N,4,G
AMOX TR-K CLV 250-125 MG TAB,16714029501,4.56147,41417.0,EA,C/I,N,4,G
AMOX TR-K CLV 250-125 MG TAB,43598021830,4.56147,41417.0,EA,C/I,N,"4, 6",G
AMOX TR-K CLV 250-125 MG TAB,60505253903,4.56147,41417.0,EA,C/I,N,4,G
AMOX TR-K CLV 250-125 MG TAB,65862050130,4.56147,41417.0,EA,C/I,N,4,G
AMOX TR-K CLV 250-62.5/5 SUSP,43598020451,0.62219,41445.0,ML,C/I,N,"1, 5, 6",G
AMOX TR-K CLV 250-62.5/5 SUSP,43598020452,0.62012,41445.0,ML,C/I,N,"1, 5, 6",G
AMOX TR-K CLV 250-62.5/5 SUSP,43598020453,0.59169,41445.0,ML,C/I,N,"1, 5, 6",G
AMOX TR-K CLV 250-62.5/5 SUSP,60432006500,0.62012,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 250-62.5/5 SUSP,60432006547,0.59169,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 250-62.5/5 SUSP,60432006575,0.62219,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57 TAB CHEW,00093227234,1.12267,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 400-57 TAB CHEW,00781164366,1.12267,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 400-57/5 SUSP,00093227973,0.12236,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,00143998201,0.12236,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,00143998250,0.16268,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,00143998275,0.13013,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,00781610446,0.12236,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,43598020850,0.16268,41445.0,ML,C/I,N,"1, 5, 6",G
AMOX TR-K CLV 400-57/5 SUSP,43598020851,0.13013,41445.0,ML,C/I,N,"1, 5, 6",G
AMOX TR-K CLV 400-57/5 SUSP,43598020852,0.12236,41445.0,ML,C/I,N,"1, 5, 6",G
AMOX TR-K CLV 400-57/5 SUSP,16714029301,0.16268,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,16714029302,0.13013,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,16714029303,0.12236,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,66685101200,0.16268,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,66685101201,0.13013,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,66685101202,0.12236,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,65862053401,0.12236,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,65862053450,0.16268,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 400-57/5 SUSP,65862053475,0.13013,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 500-125 MG TAB,00093227434,0.63929,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 500-125 MG TAB,00781183120,0.63929,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 500-125 MG TAB,16714029601,0.63929,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 500-125 MG TAB,43598020614,0.63929,41445.0,EA,C/I,N,"1, 6",G
AMOX TR-K CLV 500-125 MG TAB,60505254002,0.63929,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 500-125 MG TAB,66685100200,0.63929,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 500-125 MG TAB,66685100202,0.63929,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 500-125 MG TAB,65862050220,0.63929,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 600-42.9/5 SUSP,00143985316,0.11996,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,00143985324,0.13652,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,00143985375,0.14634,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,00093867574,0.13652,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,00093867575,0.11996,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,00093867578,0.14634,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,00781613948,0.13652,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,00781613954,0.11996,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,00781613957,0.14634,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,43598020351,0.14634,41445.0,ML,C/I,N,"1, 5, 6",G
AMOX TR-K CLV 600-42.9/5 SUSP,43598020354,0.13652,41445.0,ML,C/I,N,"1, 5, 6",G
AMOX TR-K CLV 600-42.9/5 SUSP,43598020369,0.11996,41445.0,ML,C/I,N,"1, 5, 6",G
AMOX TR-K CLV 600-42.9/5 SUSP,16714029401,0.14634,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,16714029402,0.11996,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,16714029403,0.13652,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,65862053502,0.13652,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,65862053513,0.11996,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 600-42.9/5 SUSP,65862053575,0.14634,41445.0,ML,C/I,N,"1, 5",G
AMOX TR-K CLV 875-125 MG TAB,00093227534,0.66168,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 875-125 MG TAB,00781185220,0.66168,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 875-125 MG TAB,16714029701,0.66168,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 875-125 MG TAB,16714029702,0.66168,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 875-125 MG TAB,43598022114,0.66168,41445.0,EA,C/I,N,"1, 6",G
AMOX TR-K CLV 875-125 MG TAB,60505254102,0.66168,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 875-125 MG TAB,66685100100,0.66168,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 875-125 MG TAB,66685100101,0.66168,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 875-125 MG TAB,65862050301,0.66168,41445.0,EA,C/I,N,1,G
AMOX TR-K CLV 875-125 MG TAB,65862050320,0.66168,41445.0,EA,C/I,N,1,G
AMOXAPINE 100 MG TABLET,00591571501,0.56768,41326.0,EA,C/I,N,4,G
AMOXAPINE 50 MG TABLET,00591571401,0.33944,41417.0,EA,C/I,N,4,G
AMOXICILLIN 125 MG/5 ML SUSP,00093415073,0.02173,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 125 MG/5 ML SUSP,00093415079,0.02303,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 125 MG/5 ML SUSP,00093415080,0.01901,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 125 MG/5 ML SUSP,00143988801,0.02173,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 125 MG/5 ML SUSP,00143988815,0.01901,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 125 MG/5 ML SUSP,00143988880,0.02303,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 125 MG/5 ML SUSP,00781603946,0.02173,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 125 MG/5 ML SUSP,00781603955,0.01901,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 125 MG/5 ML SUSP,00781603958,0.02303,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 125 MG/5 ML SUSP,43598022252,0.02173,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 125 MG/5 ML SUSP,43598022253,0.01901,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 125 MG/5 ML SUSP,43598022280,0.02303,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,00143988601,0.02985,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,00143988650,0.03474,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,00143988675,0.03306,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,00093416073,0.02985,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,00093416076,0.03474,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,00093416078,0.03306,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,00781615646,0.02985,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,00781615652,0.03474,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,00781615657,0.03306,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,43598022350,0.03474,41445.0,ML,C/I,N,"1, 5, 6",G
AMOXICILLIN 200 MG/5 ML SUSP,43598022351,0.03306,41445.0,ML,C/I,N,"1, 5, 6",G
AMOXICILLIN 200 MG/5 ML SUSP,43598022352,0.02985,41445.0,ML,C/I,N,"1, 5, 6",G
AMOXICILLIN 200 MG/5 ML SUSP,59762102202,0.03474,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,59762102204,0.03306,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,59762102207,0.02985,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,65862007001,0.02985,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,65862007050,0.03474,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 200 MG/5 ML SUSP,65862007075,0.03306,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG CAPSULE,00093310701,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,00093310705,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,00093310793,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,00143993801,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,00143993805,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,00781202001,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,00781202005,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,00781202031,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,00781202076,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,43598022501,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,43598022505,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,16714029801,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,16714029802,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,59762102001,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,59762102003,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,65862001601,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,65862001605,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,67253014010,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,67253014050,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,76439010310,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG CAPSULE,76439010350,0.08402,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG TAB CHEW,00093226801,0.20525,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG TAB CHEW,00093226805,0.20525,41445.0,EA,C/I,N,1,G
AMOXICILLIN 250 MG/5 ML SUSP,00093415573,0.02475,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,00093415579,0.02639,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,00093415580,0.02003,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,00143988901,0.02475,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,00143988915,0.02003,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,00143988980,0.02639,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,00781604146,0.02475,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,00781604155,0.02003,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,00781604158,0.02639,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,43598020952,0.02475,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,43598020953,0.02003,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,43598020980,0.02639,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,67253014308,0.02639,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,67253014310,0.02475,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 250 MG/5 ML SUSP,67253014315,0.02003,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,00143988701,0.02373,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,00143988750,0.03471,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,00143988775,0.03051,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,00093416173,0.02373,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,00093416176,0.03471,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,00093416178,0.03051,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,00781615746,0.02373,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,00781615752,0.03471,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,00781615757,0.03051,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,43598020750,0.03471,41445.0,ML,C/I,N,"1, 5, 6",G
AMOXICILLIN 400 MG/5 ML SUSP,43598020751,0.03051,41445.0,ML,C/I,N,"1, 5, 6",G
AMOXICILLIN 400 MG/5 ML SUSP,43598020752,0.02373,41445.0,ML,C/I,N,"1, 5, 6",G
AMOXICILLIN 400 MG/5 ML SUSP,59762102304,0.03471,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,59762102305,0.03051,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,59762102306,0.02373,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,65862007101,0.02373,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,65862007150,0.03471,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 400 MG/5 ML SUSP,65862007175,0.03051,41445.0,ML,C/I,N,"1, 5",G
AMOXICILLIN 500 MG CAPSULE,00093310905,0.08079,41445.0,EA,C/I,N,1,G
