,,,,,,,,,,,
CMS,,,,,,,,,,,
Weekly NADAC Reference File as of 12/25/2013,,,,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting","Corresponding
Generic Drug
NADAC
Per Unit","Corresponding
Generic Drug
Effective
Date",
BETAMETHASONE DP AUG 0.05% LOT,00168026730,2.06218,12/18/2013,ML,C/I,N,"1, 5",G,,,
BETAMETHASONE DP AUG 0.05% LOT,51672134003,2.06218,12/18/2013,ML,C/I,N,"1, 5",G,,,
BETAMETHASONE DP AUG 0.05% OIN,51672131703,1.82049,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE DP AUG 0.05% OIN,66993089749,1.82049,12/18/2013,GM,C/I,N,"1, 5, 6",G,,,
BETAMETHASONE DP AUG 0.05% OIN,00472038245,2.10336,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE DP AUG 0.05% OIN,00168026815,3.20245,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE DP AUG 0.05% OIN,00472038215,3.20245,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE DP AUG 0.05% OIN,51672131701,3.20245,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE DP AUG 0.05% OIN,66993089715,3.20245,12/18/2013,GM,C/I,N,"1, 5, 6",G,,,
BETAMETHASONE VA 0.1% CREAM,00168004046,0.61586,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE VA 0.1% CREAM,00472037045,0.61586,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE VA 0.1% CREAM,51672126906,0.61586,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE VA 0.1% CREAM,00168004015,0.92040,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE VA 0.1% CREAM,00472037015,0.92040,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE VA 0.1% CREAM,51672126901,0.92040,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE VA 0.1% LOTION,00168004160,0.71489,12/18/2013,ML,C/I,N,"1, 5",G,,,
BETAMETHASONE VA 0.1% LOTION,54879000460,0.71489,12/18/2013,ML,C/I,N,"1, 5",G,,,
BETAMETHASONE VALER 0.1% OINTM,00168003346,0.65723,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE VALER 0.1% OINTM,00472037145,0.65723,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE VALER 0.1% OINTM,00168003315,0.92244,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE VALER 0.1% OINTM,00472037115,0.92244,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAMETHASONE VALER 0.12% FOAM,45802005301,2.89980,10/24/2013,GM,C/I,N,"4, 5",G,,,
BETAMETHASONE VALER 0.12% FOAM,45802005302,3.19263,12/18/2013,GM,C/I,N,"1, 5",G,,,
BETAPACE 80 MG TABLET,50419010510,3.67895,09/19/2013,EA,C/I,N,4,B,0.09304,12/18/2013,
BETAPACE AF 80 MG TABLET,50419011506,3.67895,09/19/2013,EA,C/I,N,4,B,0.09304,12/18/2013,
BETASEPT 4% SURGICAL SCRUB,67618020008,0.02248,09/19/2013,ML,C/I,Y,"4, 5",G,,,
BETASERON 0.3 MG KIT,50419052335,297.82500,10/24/2013,EA,C/I,N,2,B,,,
BETAXOLOL 10 MG TABLET,10702001301,0.71481,12/18/2013,EA,C/I,N,"1, 6",G,,,
BETAXOLOL 10 MG TABLET,42806003801,0.71481,12/18/2013,EA,C/I,N,1,G,,,
BETAXOLOL HCL 0.5% EYE DROP,17478070511,9.66880,07/18/2013,ML,C/I,N,"4, 5",G,,,
BETAXOLOL HCL 0.5% EYE DROP,61314024503,9.66880,07/18/2013,ML,C/I,N,"4, 5, 6",G,,,
BETAXOLOL HCL 0.5% EYE DROP,17478070510,10.30300,12/18/2013,ML,C/I,N,"1, 5",G,,,
BETAXOLOL HCL 0.5% EYE DROP,61314024501,10.30300,12/18/2013,ML,C/I,N,"1, 5, 6",G,,,
BETHANECHOL 10 MG TABLET,00115952201,0.16081,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 10 MG TABLET,00527134001,0.16081,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 10 MG TABLET,00832051100,0.16081,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 10 MG TABLET,00832051101,0.16081,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 10 MG TABLET,50111032401,0.16081,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 10 MG TABLET,57664010488,0.16081,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 10 MG TABLET,64679096601,0.16081,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 10 MG TABLET,64980016101,0.16081,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 10 MG TABLET,65162057210,0.16081,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 10 MG TABLET,67877013801,0.16081,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 10 MG TABLET,68084016601,0.16081,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,00115953301,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,00527135601,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,00832051200,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,00832051201,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,00904617860,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,50111032501,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,57664013888,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,64679096701,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,64980016201,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,65162057310,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,67877013901,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 25 MG TABLET,68084011001,0.19263,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 5 MG TABLET,00115951101,0.12309,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 5 MG TABLET,00527133201,0.12309,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 5 MG TABLET,00832051000,0.12309,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 5 MG TABLET,00904617660,0.12309,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 5 MG TABLET,50111032301,0.12309,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 5 MG TABLET,57664013788,0.12309,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 5 MG TABLET,64679096501,0.12309,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 5 MG TABLET,64980016001,0.12309,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 5 MG TABLET,65162057110,0.12309,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 5 MG TABLET,67877013701,0.12309,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 50 MG TABLET,00115954401,0.35248,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 50 MG TABLET,00832051300,0.35248,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 50 MG TABLET,00832051301,0.35248,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 50 MG TABLET,50111032601,0.35248,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 50 MG TABLET,57664010688,0.35248,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 50 MG TABLET,64679096801,0.35248,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 50 MG TABLET,64980016301,0.35248,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 50 MG TABLET,65162057410,0.35248,12/18/2013,EA,C/I,N,1,G,,,
BETHANECHOL 50 MG TABLET,67877014001,0.35248,12/18/2013,EA,C/I,N,1,G,,,
BETIMOL 0.25% EYE DROPS,68669052205,11.94850,07/18/2013,ML,C/I,N,"2, 5",B,,,
BETIMOL 0.5% EYE DROPS,68669052510,12.60252,03/05/2013,ML,C/I,N,"4, 5",B,,,
BETIMOL 0.5% EYE DROPS,68669052515,12.78326,03/21/2013,ML,C/I,N,"4, 5",B,,,
BETIMOL 0.5% EYE DROPS,68669052505,13.01890,05/23/2013,ML,C/I,N,"2, 5",B,,,
BETOPTIC S 0.25% EYE DROPS,00065024615,16.82653,07/02/2013,ML,C/I,N,"2, 5",B,,,
BETOPTIC S 0.25% EYE DROPS,00065024610,16.85586,07/02/2013,ML,C/I,N,"2, 5",B,,,
BEYAZ 28 TABLET,50419040703,3.22304,07/01/2013,EA,C/I,N,2,B,,,
BICALUTAMIDE 50 MG TABLET,00093022001,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,00093022056,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,00378701705,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,00378701793,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,00781540901,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,00781540931,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,00781540964,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,00904601946,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,00904601960,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,16714057101,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,16714057102,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,16729002301,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,16729002310,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,41616048583,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,41616048588,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,51079069201,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,51079069203,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,51991056001,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,60505264201,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,60505264203,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,62175013232,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,68084061221,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,68382022401,0.46675,12/18/2013,EA,C/I,N,1,G,,,
BICALUTAMIDE 50 MG TABLET,68382022406,0.46675,12/18/2013,EA,C/I,N,1,G,,,
"BICILLIN L-A 1,200,000 UNITS",60793070110,29.67390,05/23/2013,ML,C/I,N,"2, 5",B,,,
"BICILLIN L-A 2,400,000 UNITS",60793070210,30.05790,10/24/2013,ML,C/I,N,"4, 5",B,,,
BICLORA LIQUID,63717033108,0.08036,05/23/2013,ML,C/I,Y,"4, 5, 6",B,,,
BICLORA-D LIQUID,63717033308,0.08512,05/23/2013,ML,C/I,Y,"4, 5, 6",B,,,
BICLORA-D TABLET,63717033406,0.37697,04/18/2013,EA,C/I,Y,"4, 6",B,,,
BIDIL TABLET,24338001018,2.19063,10/01/2013,EA,C/I,N,2,B,,,
BILTRICIDE 600 MG TABLET,50419074701,13.79400,09/19/2013,EA,C/I,N,4,B,,,
BION TEARS EYE DROPS,00065041928,0.43271,05/23/2013,EA,C/I,Y,"4, 5",G,,,
BISA-LAX EC 5 MG TABLET,24385090378,0.02190,12/18/2013,EA,C/I,Y,1,G,,,
BISAC-EVAC 10 MG SUPPOSITORY,00713010901,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISAC-EVAC 10 MG SUPPOSITORY,00713010905,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISAC-EVAC 10 MG SUPPOSITORY,00713010908,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISAC-EVAC 10 MG SUPPOSITORY,00713010910,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISAC-EVAC 10 MG SUPPOSITORY,00713010912,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISAC-EVAC 10 MG SUPPOSITORY,00713010950,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL 10 MG SUPPOSITORY,00536135501,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL 10 MG SUPPOSITORY,00536135512,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL 10 MG SUPPOSITORY,00574705012,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL 10 MG SUPPOSITORY,00574705050,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL 10 MG SUPPOSITORY,37205010253,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL 10 MG SUPPOSITORY,45802057242,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL 10 MG SUPPOSITORY,45802057253,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL 10 MG SUPPOSITORY,45802057278,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL 10 MG SUPPOSITORY,45802071030,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL 10 MG SUPPOSITORY,45802071032,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL 10 MG SUPPOSITORY,45802071033,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL EC 5 MG TABLET,00536338101,0.02190,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL EC 5 MG TABLET,00536338110,0.02190,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL EC 5 MG TABLET,00603248321,0.02190,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL EC 5 MG TABLET,00904792717,0.02190,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL EC 5 MG TABLET,00904792760,0.02190,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL EC 5 MG TABLET,00904792761,0.02190,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL EC 5 MG TABLET,00904792780,0.02190,12/18/2013,EA,C/I,Y,1,G,,,
BISACODYL EC 5 MG TABLET,37205012863,0.02190,12/18/2013,EA,C/I,Y,1,G,,,
BISCOLAX 10 MG SUPPOSITORY,00904505812,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISCOLAX 10 MG SUPPOSITORY,00904505860,0.09696,12/18/2013,EA,C/I,Y,1,G,,,
BISMATROL 262 MG TABLET,00904131503,0.06605,11/21/2013,EA,C/I,Y,4,G,,,
BISMATROL SUSPENSION,00904131309,0.00610,12/18/2013,ML,C/I,Y,"1, 5",G,,,
BISMATROL TABLET CHEW,00904131546,0.06165,12/18/2013,EA,C/I,Y,1,G,,,
BISOPROLOL FUMARATE 10 MG TAB,00093527156,0.43921,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 10 MG TAB,00185077401,0.43921,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 10 MG TAB,00185077430,0.43921,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 10 MG TAB,00378052401,0.43921,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 10 MG TAB,00378052493,0.43921,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 10 MG TAB,29300012701,0.43921,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 10 MG TAB,29300012713,0.43921,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 10 MG TAB,59762126101,0.43921,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 10 MG TAB,59762126102,0.43921,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 10 MG TAB,65862008701,0.43921,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 10 MG TAB,65862008730,0.43921,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,00093527056,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,00185077101,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,00185077130,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,00378052301,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,00378052393,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,29300012601,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,29300012613,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,59762125801,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,59762125802,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,65862008601,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,65862008630,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL FUMARATE 5 MG TAB,68084048721,0.41118,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 10-6.25 MG TAB,00185070701,0.08540,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 10-6.25 MG TAB,00185070705,0.08540,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 10-6.25 MG TAB,00185070730,0.08540,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 10-6.25 MG TAB,00378050501,0.08540,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 10-6.25 MG TAB,00378050505,0.08540,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 10-6.25 MG TAB,29300018901,0.08540,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 10-6.25 MG TAB,29300018905,0.08540,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 10-6.25 MG TAB,29300018913,0.08540,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG TB,00185070101,0.10861,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG TB,00185070105,0.10861,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG TB,00185070130,0.10861,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG TB,00378050101,0.10861,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG TB,00378050110,0.10861,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG TB,29300018701,0.10861,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG TB,29300018705,0.10861,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG TB,29300018713,0.10861,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 5-6.25 MG TAB,00185070401,0.06105,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 5-6.25 MG TAB,00185070405,0.06105,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 5-6.25 MG TAB,00185070430,0.06105,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 5-6.25 MG TAB,00378050301,0.06105,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 5-6.25 MG TAB,00378050310,0.06105,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 5-6.25 MG TAB,29300018801,0.06105,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 5-6.25 MG TAB,29300018805,0.06105,12/18/2013,EA,C/I,N,1,G,,,
BISOPROLOL-HYDROCHLOROTHIAZIDE 5-6.25 MG TAB,29300018813,0.06105,12/18/2013,EA,C/I,N,1,G,,,
BLEPH-10 10% EYE DROPS,11980001105,17.13978,11/23/2013,ML,C/I,N,"4, 5, 6",B,,,
BLEPHAMIDE EYE DROPS,11980002210,17.37265,11/23/2013,ML,C/I,N,"2, 5",B,,,
BLEPHAMIDE EYE DROPS,11980002205,17.37665,11/23/2013,ML,C/I,N,"2, 5",B,,,
BLEPHAMIDE EYE OINTMENT,00023031304,24.56304,11/23/2013,GM,C/I,N,"4, 5",B-ANDA,,,
BONIVA 150 MG TABLET,00004018682,137.24232,07/02/2013,EA,C/I,N,2,B,39.25847,12/18/2013,
BONIVA 3 MG/3 ML SYRINGE,00004019109,148.87830,07/02/2013,ML,C/I,N,"4, 5",B,,,
BP 10-1 WASH,42192010406,0.37471,05/23/2013,GM,C/I,N,"4, 5",G,,,
BP VIT 3 CAPSULE,42192030160,0.66889,07/18/2013,EA,C/I,N,4,G,,,
BPO 4% CREAMY WASH PACK,42192011003,58.94800,07/18/2013,EA,C/I,N,4,G,,,
BPO 8% CREAMY WASH PACK,42192011103,62.52000,09/19/2013,EA,C/I,Y,4,G,,,
BREO ELLIPTA 100-25 MCG INH,00173085910,4.19695,12/18/2013,EA,C/I,N,"1, 5, 6",B,,,
BRIELLYN TABLET,68462031629,0.73404,12/18/2013,EA,C/I,N,1,G,,,
BRILINTA 90 MG TABLET,00186077739,3.82459,12/18/2013,EA,C/I,N,1,B,,,
BRILINTA 90 MG TABLET,00186077760,3.82459,12/18/2013,EA,C/I,N,1,B,,,
BRIMONIDINE 0.2% EYE DROP,17478071510,0.90540,12/18/2013,ML,C/I,N,"1, 5",G,,,
BRIMONIDINE 0.2% EYE DROP,24208041105,0.90540,12/18/2013,ML,C/I,N,"1, 5",G,,,
BRIMONIDINE 0.2% EYE DROP,60758086605,0.90540,12/18/2013,ML,C/I,N,"1, 5, 6",G,,,
BRIMONIDINE 0.2% EYE DROP,61314014305,0.90540,12/18/2013,ML,C/I,N,"1, 5",G,,,
BRIMONIDINE 0.2% EYE DROP,17478071511,0.96146,12/18/2013,ML,C/I,N,"1, 5",G,,,
BRIMONIDINE 0.2% EYE DROP,24208041110,0.96146,12/18/2013,ML,C/I,N,"1, 5",G,,,
BRIMONIDINE 0.2% EYE DROP,60758086610,0.96146,12/18/2013,ML,C/I,N,"1, 5, 6",G,,,
BRIMONIDINE 0.2% EYE DROP,61314014310,0.96146,12/18/2013,ML,C/I,N,"1, 5",G,,,
BRIMONIDINE 0.2% EYE DROP,17478071512,1.00805,12/18/2013,ML,C/I,N,"1, 5",G,,,
BRIMONIDINE 0.2% EYE DROP,24208041115,1.00805,12/18/2013,ML,C/I,N,"1, 5",G,,,
BRIMONIDINE 0.2% EYE DROP,60758086615,1.00805,12/18/2013,ML,C/I,N,"1, 5, 6",G,,,
BRIMONIDINE 0.2% EYE DROP,61314014315,1.00805,12/18/2013,ML,C/I,N,"1, 5",G,,,
BRIMONIDINE TARTRATE 0.15% DRP,61314014405,15.58883,12/18/2013,ML,C/I,N,"1, 5",G,,,
BRIMONIDINE TARTRATE 0.15% DRP,61314014415,15.61969,12/18/2013,ML,C/I,N,"1, 5",G,,,
BRIMONIDINE TARTRATE 0.15% DRP,61314014410,15.68032,12/18/2013,ML,C/I,N,"1, 5",G,,,
BROMFED DM COUGH SYRUP,60432083704,0.16708,12/18/2013,ML,C/I,N,"1, 5",G,,,
BROMFED DM COUGH SYRUP,60432083716,0.16738,12/18/2013,ML,C/I,N,"1, 5",G,,,
BROMFENAC SODIUM 0.09% EYE DRP,00378711035,42.69429,12/18/2013,ML,C/I,N,"1, 5",G,,,
BROMFENAC SODIUM 0.09% EYE DRP,00378710935,43.08200,12/18/2013,ML,C/I,N,"1, 5",G,,,
BROMOCRIPTINE 2.5 MG TABLET,00378204201,1.02976,12/18/2013,EA,C/I,N,1,G,,,
BROMOCRIPTINE 2.5 MG TABLET,00378204293,1.02976,12/18/2013,EA,C/I,N,1,G,,,
BROMOCRIPTINE 2.5 MG TABLET,00574010601,1.02976,12/18/2013,EA,C/I,N,1,G,,,
BROMOCRIPTINE 2.5 MG TABLET,00574010603,1.02976,12/18/2013,EA,C/I,N,1,G,,,
BROMOCRIPTINE 2.5 MG TABLET,00781532501,1.02976,12/18/2013,EA,C/I,N,1,G,,,
BROMOCRIPTINE 2.5 MG TABLET,00781532531,1.02976,12/18/2013,EA,C/I,N,1,G,,,
BROTAPP DM LIQUID,54838013670,0.00985,12/18/2013,ML,C/I,Y,"1, 5",G,,,
BROTAPP DM LIQUID,54838013640,0.01004,12/18/2013,ML,C/I,Y,"1, 5",G,,,
BROTAPP LIQUID,54838012540,0.01102,11/21/2013,ML,C/I,Y,"4, 5",G,,,
BROVANA 15 MCG/2 ML SOLUTION,63402091130,3.92427,12/18/2013,ML,C/I,N,"1, 5",B,,,
BROVANA 15 MCG/2 ML SOLUTION,63402091164,3.94278,12/18/2013,ML,C/I,N,"1, 5",B,,,
BUDEPRION SR 100 MG TABLET,00093550101,0.28136,12/18/2013,EA,C/I,N,1,G,,,
BUDEPRION SR 150 MG TABLET,00093550201,0.25097,12/18/2013,EA,C/I,N,1,G,,,
BUDEPRION XL 300 MG TABLET,00093535156,0.58756,12/18/2013,EA,C/I,N,1,G,,,
BUDESONIDE 0.25 MG/2 ML SUSP,00093681573,3.28341,12/18/2013,ML,C/I,N,"1, 5",G,,,
BUDESONIDE 0.5 MG/2 ML SUSP,00093681673,3.87468,12/18/2013,ML,C/I,N,"1, 5",G,,,
BUDESONIDE EC 3 MG CAPSULE,00378715501,10.59100,12/18/2013,EA,C/I,N,1,G,,,
BUDESONIDE EC 3 MG CAPSULE,00378715505,10.59100,12/18/2013,EA,C/I,N,1,G,,,
BUDESONIDE EC 3 MG CAPSULE,49884050101,10.59100,12/18/2013,EA,C/I,N,"1, 6",G,,,
